,,,,,,,
Revenue Ranking Pivot,,,,Analysis ,,,
Item,SUM of Total Spent,,,"The Revenue Ranking pivot displays total revenue generated by each menu item, sorted in descending order. This identifies which products contribute most to overall sales performance.",,,
Salad,"$14,890.00",,,,,,
Sandwich,"$11,680.00",,,,,,
Smoothie,"$11,608.00",,,,,,
Juice,"$9,108.00",,,,,,
Cake,"$9,009.00",,,,,,
Coffee,"$6,210.00",,,,,,
Tea,"$4,179.00",,,,,,
Cookie,"$2,775.00",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Monthly Revenue Trend,,,,Analysis,,,
Transaction Date - Month,SUM of Total Spent,,,The Monthly Revenue Trend pivot aggregates total revenue (SUM of Total Spent) by month. It provides a time-based view of revenue performance and reveals seasonal movement patterns.,,,
Jan,"$5,944.00",,,,,,
Feb,"$5,421.00",,,,,,
Mar,"$5,879.00",,,,,,
Apr,"$5,835.00",,,,,,
May,"$5,568.00",,,,,,
Jun,"$6,005.00",,,,,,
Jul,"$5,737.50",,,,,,
Aug,"$5,746.00",,,,,,
Sep,"$5,617.00",,,,,,
Oct,"$6,032.00",,,,,,
Nov,"$5,953.00",,,,,,
Dec,"$5,721.50",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Location Split,,,,Analysis,,,
Location,SUM of Total Spent,Revenue %,,"The Location Split pivot aggregates total revenue (SUM of Total Spent) by service channel (In-store, Takeaway, Unknown) and expresses each as a percentage of total revenue.",,,
In-store,"$21,318.00",30.69%,,,,,
Takeaway,"$20,508.00",29.53%,,,,,
Unknown,"$27,633.00",39.78%,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Payment Method Split,,,,Analysis,,,
Payment Method,Revenue,Revenue %,,"The Location Split pivot aggregates total revenue (SUM of Total Spent) by service channel (In-store, Takeaway, Unknown) and expresses each as a percentage of total revenue.",,,
Cash,"$16,121.50",23.21%,,,,,
Credit Card,"$15,834.00",22.80%,,,,,
Digital Wallet,"$15,885.50",22.87%,,,,,
Unknown,"$21,618.00",31.12%,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,c,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Volume by Item,,,,Analysis,,,
Item,SUM of Quantity,,,The Volume by Item pivot aggregates total quantity sold (SUM of Quantity) for each menu item. It measures demand intensity rather than revenue contribution.,,,
Coffee,3105,,,,,,
Juice,3036,,,,,,
Cake,3003,,,,,,
Salad,2978,,,,,,
Sandwich,2920,,,,,,
Smoothie,2902,,,,,,
Tea,2786,,,,,,
Cookie,2775,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
SUM of Quantity,Month,,,,Analysis,,
Item,January,June,Percentage Change,,"This pivot compares SUM of Quantity for each item in January and June, along with the calculated percentage change. It measures seasonal demand shift at the product level.",,
Cake,269,228,-15.24%,,,,
Coffee,256,272,6.25%,,,,
Cookie,220,226,2.73%,,,,
Juice,285,279,-2.11%,,,,
Salad,263,262,-0.38%,,,,
Sandwich,309,246,-20.39%,,,,
Smoothie,159,271,70.44%,,,,
Tea,242,224,-7.44%,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Transaction Date - Month,SUM of Total Spent,COUNTA of Transaction ID,SUM of Quantity,Average Order Value,Average item per transaction,,
Jan,"$5,944.00",665,2003,$8.94,3.012030075,,
Feb,"$5,421.00",589,1852,$9.20,3.144312394,,
Mar,"$5,879.00",677,2027,$8.68,2.994091581,,
Apr,"$5,835.00",631,1935,$9.25,3.066561014,,
May,"$5,568.00",627,1879,$8.88,2.996810207,,
Jun,"$6,005.00",663,2008,$9.06,3.028657617,,Analysis
Jul,"$5,737.50",656,1939,$8.75,2.955792683,,"This pivot aggregates performance metrics by month and dynamically responds to slicers (Month, Item). It acts as the analytical core of the dashboard."
Aug,"$5,746.00",651,1948,$8.83,2.992319508,,
Sep,"$5,617.00",641,1906,$8.76,2.973478939,,
Oct,"$6,032.00",679,2072,$8.88,3.051546392,,
Nov,"$5,953.00",661,1984,$9.01,3.001512859,,
Dec,"$5,721.50",633,1952,$9.04,3.083728278,,
Grand Total,"$69,459.00",7773,23505,$8.94,3.023928985,,
